image_id,image_path,filename
34522,myntradataset\images\34522.jpg,34522.jpg
6807,myntradataset\images\6807.jpg,6807.jpg
20194,myntradataset\images\20194.jpg,20194.jpg
27865,myntradataset\images\27865.jpg,27865.jpg
45293,myntradataset\images\45293.jpg,45293.jpg
51566,myntradataset\images\51566.jpg,51566.jpg
54108,myntradataset\images\54108.jpg,54108.jpg
41385,myntradataset\images\41385.jpg,41385.jpg
11041,myntradataset\images\11041.jpg,11041.jpg
17824,myntradataset\images\17824.jpg,17824.jpg
46059,myntradataset\images\46059.jpg,46059.jpg
46383,myntradataset\images\46383.jpg,46383.jpg
48577,myntradataset\images\48577.jpg,48577.jpg
57012,myntradataset\images\57012.jpg,57012.jpg
46195,myntradataset\images\46195.jpg,46195.jpg
16145,myntradataset\images\16145.jpg,16145.jpg
44951,myntradataset\images\44951.jpg,44951.jpg
25174,myntradataset\images\25174.jpg,25174.jpg
32231,myntradataset\images\32231.jpg,32231.jpg
14715,myntradataset\images\14715.jpg,14715.jpg
29501,myntradataset\images\29501.jpg,29501.jpg
30754,myntradataset\images\30754.jpg,30754.jpg
45328,myntradataset\images\45328.jpg,45328.jpg
4769,myntradataset\images\4769.jpg,4769.jpg
34607,myntradataset\images\34607.jpg,34607.jpg
56507,myntradataset\images\56507.jpg,56507.jpg
51454,myntradataset\images\51454.jpg,51454.jpg
1654,myntradataset\images\1654.jpg,1654.jpg
18233,myntradataset\images\18233.jpg,18233.jpg
7375,myntradataset\images\7375.jpg,7375.jpg
17763,myntradataset\images\17763.jpg,17763.jpg
36269,myntradataset\images\36269.jpg,36269.jpg
45256,myntradataset\images\45256.jpg,45256.jpg
52827,myntradataset\images\52827.jpg,52827.jpg
3253,myntradataset\images\3253.jpg,3253.jpg
14337,myntradataset\images\14337.jpg,14337.jpg
44040,myntradataset\images\44040.jpg,44040.jpg
52370,myntradataset\images\52370.jpg,52370.jpg
2606,myntradataset\images\2606.jpg,2606.jpg
28118,myntradataset\images\28118.jpg,28118.jpg
31451,myntradataset\images\31451.jpg,31451.jpg
11128,myntradataset\images\11128.jpg,11128.jpg
25271,myntradataset\images\25271.jpg,25271.jpg
58569,myntradataset\images\58569.jpg,58569.jpg
47136,myntradataset\images\47136.jpg,47136.jpg
48460,myntradataset\images\48460.jpg,48460.jpg
52679,myntradataset\images\52679.jpg,52679.jpg
29821,myntradataset\images\29821.jpg,29821.jpg
56158,myntradataset\images\56158.jpg,56158.jpg
48954,myntradataset\images\48954.jpg,48954.jpg
26903,myntradataset\images\26903.jpg,26903.jpg
42880,myntradataset\images\42880.jpg,42880.jpg
39646,myntradataset\images\39646.jpg,39646.jpg
43158,myntradataset\images\43158.jpg,43158.jpg
57761,myntradataset\images\57761.jpg,57761.jpg
46582,myntradataset\images\46582.jpg,46582.jpg
28877,myntradataset\images\28877.jpg,28877.jpg
38540,myntradataset\images\38540.jpg,38540.jpg
28690,myntradataset\images\28690.jpg,28690.jpg
55475,myntradataset\images\55475.jpg,55475.jpg
16743,myntradataset\images\16743.jpg,16743.jpg
17860,myntradataset\images\17860.jpg,17860.jpg
42640,myntradataset\images\42640.jpg,42640.jpg
29299,myntradataset\images\29299.jpg,29299.jpg
9028,myntradataset\images\9028.jpg,9028.jpg
58978,myntradataset\images\58978.jpg,58978.jpg
33981,myntradataset\images\33981.jpg,33981.jpg
17852,myntradataset\images\17852.jpg,17852.jpg
58456,myntradataset\images\58456.jpg,58456.jpg
28590,myntradataset\images\28590.jpg,28590.jpg
13067,myntradataset\images\13067.jpg,13067.jpg
15086,myntradataset\images\15086.jpg,15086.jpg
21056,myntradataset\images\21056.jpg,21056.jpg
27889,myntradataset\images\27889.jpg,27889.jpg
30246,myntradataset\images\30246.jpg,30246.jpg
58744,myntradataset\images\58744.jpg,58744.jpg
12923,myntradataset\images\12923.jpg,12923.jpg
37148,myntradataset\images\37148.jpg,37148.jpg
32182,myntradataset\images\32182.jpg,32182.jpg
18270,myntradataset\images\18270.jpg,18270.jpg
21279,myntradataset\images\21279.jpg,21279.jpg
17400,myntradataset\images\17400.jpg,17400.jpg
17505,myntradataset\images\17505.jpg,17505.jpg
32971,myntradataset\images\32971.jpg,32971.jpg
28329,myntradataset\images\28329.jpg,28329.jpg
54049,myntradataset\images\54049.jpg,54049.jpg
41702,myntradataset\images\41702.jpg,41702.jpg
13297,myntradataset\images\13297.jpg,13297.jpg
27769,myntradataset\images\27769.jpg,27769.jpg
31325,myntradataset\images\31325.jpg,31325.jpg
56963,myntradataset\images\56963.jpg,56963.jpg
12708,myntradataset\images\12708.jpg,12708.jpg
22905,myntradataset\images\22905.jpg,22905.jpg
21660,myntradataset\images\21660.jpg,21660.jpg
48583,myntradataset\images\48583.jpg,48583.jpg
59253,myntradataset\images\59253.jpg,59253.jpg
12120,myntradataset\images\12120.jpg,12120.jpg
3983,myntradataset\images\3983.jpg,3983.jpg
43668,myntradataset\images\43668.jpg,43668.jpg
35705,myntradataset\images\35705.jpg,35705.jpg
39327,myntradataset\images\39327.jpg,39327.jpg
46483,myntradataset\images\46483.jpg,46483.jpg
10263,myntradataset\images\10263.jpg,10263.jpg
13711,myntradataset\images\13711.jpg,13711.jpg
20562,myntradataset\images\20562.jpg,20562.jpg
57727,myntradataset\images\57727.jpg,57727.jpg
27846,myntradataset\images\27846.jpg,27846.jpg
47548,myntradataset\images\47548.jpg,47548.jpg
6456,myntradataset\images\6456.jpg,6456.jpg
57196,myntradataset\images\57196.jpg,57196.jpg
48403,myntradataset\images\48403.jpg,48403.jpg
25433,myntradataset\images\25433.jpg,25433.jpg
9921,myntradataset\images\9921.jpg,9921.jpg
14501,myntradataset\images\14501.jpg,14501.jpg
30572,myntradataset\images\30572.jpg,30572.jpg
27986,myntradataset\images\27986.jpg,27986.jpg
2124,myntradataset\images\2124.jpg,2124.jpg
32780,myntradataset\images\32780.jpg,32780.jpg
33457,myntradataset\images\33457.jpg,33457.jpg
19749,myntradataset\images\19749.jpg,19749.jpg
47249,myntradataset\images\47249.jpg,47249.jpg
18376,myntradataset\images\18376.jpg,18376.jpg
48254,myntradataset\images\48254.jpg,48254.jpg
3501,myntradataset\images\3501.jpg,3501.jpg
41908,myntradataset\images\41908.jpg,41908.jpg
35811,myntradataset\images\35811.jpg,35811.jpg
15612,myntradataset\images\15612.jpg,15612.jpg
38359,myntradataset\images\38359.jpg,38359.jpg
7678,myntradataset\images\7678.jpg,7678.jpg
21136,myntradataset\images\21136.jpg,21136.jpg
2316,myntradataset\images\2316.jpg,2316.jpg
35055,myntradataset\images\35055.jpg,35055.jpg
39877,myntradataset\images\39877.jpg,39877.jpg
11954,myntradataset\images\11954.jpg,11954.jpg
11136,myntradataset\images\11136.jpg,11136.jpg
12812,myntradataset\images\12812.jpg,12812.jpg
12005,myntradataset\images\12005.jpg,12005.jpg
36615,myntradataset\images\36615.jpg,36615.jpg
7504,myntradataset\images\7504.jpg,7504.jpg
38467,myntradataset\images\38467.jpg,38467.jpg
15961,myntradataset\images\15961.jpg,15961.jpg
18368,myntradataset\images\18368.jpg,18368.jpg
11892,myntradataset\images\11892.jpg,11892.jpg
22601,myntradataset\images\22601.jpg,22601.jpg
14771,myntradataset\images\14771.jpg,14771.jpg
39967,myntradataset\images\39967.jpg,39967.jpg
27022,myntradataset\images\27022.jpg,27022.jpg
58452,myntradataset\images\58452.jpg,58452.jpg
23145,myntradataset\images\23145.jpg,23145.jpg
2270,myntradataset\images\2270.jpg,2270.jpg
11263,myntradataset\images\11263.jpg,11263.jpg
35186,myntradataset\images\35186.jpg,35186.jpg
13715,myntradataset\images\13715.jpg,13715.jpg
56361,myntradataset\images\56361.jpg,56361.jpg
4187,myntradataset\images\4187.jpg,4187.jpg
35491,myntradataset\images\35491.jpg,35491.jpg
8880,myntradataset\images\8880.jpg,8880.jpg
18432,myntradataset\images\18432.jpg,18432.jpg
50884,myntradataset\images\50884.jpg,50884.jpg
9960,myntradataset\images\9960.jpg,9960.jpg
20200,myntradataset\images\20200.jpg,20200.jpg
32561,myntradataset\images\32561.jpg,32561.jpg
29928,myntradataset\images\29928.jpg,29928.jpg
49924,myntradataset\images\49924.jpg,49924.jpg
36285,myntradataset\images\36285.jpg,36285.jpg
38474,myntradataset\images\38474.jpg,38474.jpg
50610,myntradataset\images\50610.jpg,50610.jpg
48500,myntradataset\images\48500.jpg,48500.jpg
59356,myntradataset\images\59356.jpg,59356.jpg
21116,myntradataset\images\21116.jpg,21116.jpg
41841,myntradataset\images\41841.jpg,41841.jpg
37083,myntradataset\images\37083.jpg,37083.jpg
53454,myntradataset\images\53454.jpg,53454.jpg
53084,myntradataset\images\53084.jpg,53084.jpg
39530,myntradataset\images\39530.jpg,39530.jpg
56855,myntradataset\images\56855.jpg,56855.jpg
50929,myntradataset\images\50929.jpg,50929.jpg
29051,myntradataset\images\29051.jpg,29051.jpg
42028,myntradataset\images\42028.jpg,42028.jpg
16634,myntradataset\images\16634.jpg,16634.jpg
12740,myntradataset\images\12740.jpg,12740.jpg
6344,myntradataset\images\6344.jpg,6344.jpg
58628,myntradataset\images\58628.jpg,58628.jpg
30587,myntradataset\images\30587.jpg,30587.jpg
21521,myntradataset\images\21521.jpg,21521.jpg
5861,myntradataset\images\5861.jpg,5861.jpg
9352,myntradataset\images\9352.jpg,9352.jpg
54875,myntradataset\images\54875.jpg,54875.jpg
29099,myntradataset\images\29099.jpg,29099.jpg
8153,myntradataset\images\8153.jpg,8153.jpg
53473,myntradataset\images\53473.jpg,53473.jpg
16052,myntradataset\images\16052.jpg,16052.jpg
40082,myntradataset\images\40082.jpg,40082.jpg
52357,myntradataset\images\52357.jpg,52357.jpg
56558,myntradataset\images\56558.jpg,56558.jpg
45619,myntradataset\images\45619.jpg,45619.jpg
33623,myntradataset\images\33623.jpg,33623.jpg
53530,myntradataset\images\53530.jpg,53530.jpg
52965,myntradataset\images\52965.jpg,52965.jpg
37306,myntradataset\images\37306.jpg,37306.jpg
15622,myntradataset\images\15622.jpg,15622.jpg
48908,myntradataset\images\48908.jpg,48908.jpg
2916,myntradataset\images\2916.jpg,2916.jpg
58565,myntradataset\images\58565.jpg,58565.jpg
38656,myntradataset\images\38656.jpg,38656.jpg
31692,myntradataset\images\31692.jpg,31692.jpg
53453,myntradataset\images\53453.jpg,53453.jpg
45999,myntradataset\images\45999.jpg,45999.jpg
15740,myntradataset\images\15740.jpg,15740.jpg
6826,myntradataset\images\6826.jpg,6826.jpg
54718,myntradataset\images\54718.jpg,54718.jpg
6950,myntradataset\images\6950.jpg,6950.jpg
52767,myntradataset\images\52767.jpg,52767.jpg
28617,myntradataset\images\28617.jpg,28617.jpg
